village;code_postal;latitude;longitude;region
Aiguèze;30760;44.3160186564;4.51739879151;Languedoc-Roussillon
Ainhoa;64250;43.2973870708;-1.48514354363;Aquitaine
Angles-sur-l'Anglin;86260;46.6986976;0.896253717569;Poitou-Charentes
Ansouis;84240;43.7365172868;5.47136689464;Provence-Alpes-Côte d'Azur
Apremont-sur-Allier;18150;46.9110862876;3.01870489401;Centre
Arlempdes;43490;44.8669171298;3.90308376688;Auvergne
Ars-en-Ré;17590;46.2111995219;-1.51504354145;Poitou-Charentes
Aubeterre-sur-Dronne;16390;45.2609347512;0.16792049879;Poitou-Charentes
Autoire;46400;44.8583081491;1.82558835092;Midi-Pyrénées
Auvillar;82340;44.0585023466;0.887408574561;Midi-Pyrénées
Balazuc;7120;44.5082860556;4.37244725798;Rhône-Alpes
Barfleur;50760;49.6687321744;-1.26330967066;Basse-Normandie
Bargème;83840;43.7301362684;6.5708673229;Provence-Alpes-Côte d'Azur
Baume-les-Messieurs;39570;46.7048674382;5.64562570074;Franche Comté
Baux-de-Provence;13520;43.745808725;4.80218162499;Provence-Alpes-Côte d'Azur
Belcastel;12390;44.3944148302;2.33164860958;Midi-Pyrénées
Belvès;24170;44.7462034463;0.980486487157;Aquitaine
Beuvron-en-Auge;14430;49.1960004062;-0.042455878979;Basse-Normandie
Beynac-et-Cazenac;24220;44.8572702356;1.13222078955;Aquitaine
Blesle;43450;45.3179155382;3.17686146037;Auvergne
Bonneval-sur-Arc;73480;45.3858269371;7.09178979521;Rhône-Alpes
Brousse-le-Château;12480;44.0062723535;2.63789868887;Midi-Pyrénées
Bruniquel;82800;44.0521980341;1.66009719751;Midi-Pyrénées
Camon;9500;43.021523452;1.96173407084;Midi-Pyrénées
Candes-Saint-Martin;37500;47.2026345011;0.0740845875144;Centre
Capdenac;46100;44.5849536866;2.06705309524;Midi-Pyrénées
Cardaillac;46100;44.6824882751;2.0138257443;Midi-Pyrénées
Carennac;46110;44.9054973553;1.72378675129;Midi-Pyrénées
Castelnau-de-Montmiral;81140;43.9867805665;1.78310029174;Midi-Pyrénées
Castelnaud-la-Chapelle;24250;44.8017266303;1.13058711758;Aquitaine
Castelnou;66300;42.6193831125;2.70904889838;Languedoc-Roussillon
Charroux;3140;46.1823286094;3.16415034202;Auvergne
Château-Chalon;39210;46.7594016188;5.64816991256;Franche Comté
Châteauneuf;21320;47.2193918621;4.65146586699;Bourgogne
Coaraze;6390;43.8664901786;7.29913349222;Provence-Alpes-Côte d'Azur
Collonges-la-Rouge;19500;45.0661814484;1.65335823441;Limousin
Comprégnac;12100;44.0964783684;2.97961913091;Midi-Pyrénées
Conques;12320;44.5952473002;2.4201643341;Midi-Pyrénées
Crissay-sur-Manse;37220;47.1665198004;0.494306101792;Centre
Curemonte;19500;45.0035299076;1.75465208697;Limousin
Domme;24250;44.8035117633;1.24433028521;Aquitaine
Eguisheim;68420;48.0371183049;7.30052876111;Alsace
Estaing;12190;44.5694224223;2.68750805663;Midi-Pyrénées
Eus;66500;42.657654474;2.44661138862;Languedoc-Roussillon
Flavigny-sur-Ozerain;21150;47.5087961778;4.51921128225;Bourgogne
Fourcès;32250;43.9951905461;0.228969106645;Midi-Pyrénées
Gargilesse-Dampierre;36190;46.5053300669;1.62060670843;Centre
Gassin;83580;43.2392065224;6.58617518642;Provence-Alpes-Côte d'Azur
Gerberoy;60380;49.5385653619;1.84224948917;Picardie
Gordes;84220;43.909019241;5.19801978618;Provence-Alpes-Côte d'Azur
Gourdon;6620;43.7242493778;6.96356065093;Provence-Alpes-Côte d'Azur
Hunawihr;68150;48.1824285926;7.30403809307;Alsace
Hunspach;67250;48.9578637227;7.93587412104;Alsace
La Bastide-Clairence;64240;43.417654264;-1.23211183617;Aquitaine
La Couvertoirade;12230;43.9292282018;3.28890121279;Midi-Pyrénées
La Flotte;17630;46.1793660462;-1.32163012232;Poitou-Charentes
La Garde-Adhémar;26700;44.3910321281;4.74995521601;Rhône-Alpes
La Grave;5320;45.0601102401;6.28406977587;Provence-Alpes-Côte d'Azur
La Roche-Guyon;95780;49.0874855412;1.63442620986;Île-de-France
La Roque-Gageac;24250;44.8177613658;1.19861057115;Aquitaine
La Roque-sur-Cèze;30200;44.1901881744;4.51851871798;Languedoc-Roussillon
Lagrasse;11220;43.0957230349;2.60436046295;Languedoc-Roussillon
Larressingle;32100;43.9368488739;0.315969643669;Midi-Pyrénées
Lautrec;81440;43.7052468491;2.12929403349;Midi-Pyrénées
Lauzerte;82110;44.2642995725;1.12713270139;Midi-Pyrénées
Lavardens;32360;43.7654411264;0.519747830067;Midi-Pyrénées
Lavardin;41800;47.7369568868;0.886026450993;Centre
Lavaudieu;43100;45.2627483752;3.45499387355;Auvergne
Le Bec-Hellouin;27800;49.2249212859;0.726506401236;Haute-Normandie
Le Faou;29590;48.3059334041;-4.1421494556;Bretagne
Le Poët-Laval;26160;44.5259749457;5.00162993339;Rhône-Alpes
Limeuil;24510;44.8968110738;0.895947678696;Aquitaine
Locronan;29180;48.0978281716;-4.21322277368;Bretagne
Lods;25930;47.0494709187;6.25575647951;Franche Comté
Loubressac;46130;44.8660989972;1.79065883803;Midi-Pyrénées
Lourmarin;84160;43.7780333839;5.36616174066;Provence-Alpes-Côte d'Azur
Lyons-la-Forêt;27480;49.3936970778;1.47355856778;Haute-Normandie
Ménerbes;84560;43.8243710342;5.22087170856;Provence-Alpes-Côte d'Azur
Minerve;34210;43.3629052396;2.72160547585;Languedoc-Roussillon
Mirmande;26270;44.6886093237;4.844585911;Rhône-Alpes
Mittelbergheim;67140;48.3941967219;7.44334636249;Alsace
Moncontour;22510;48.3581980369;-2.63225581837;Bretagne
Monestiés;81640;44.0787915889;2.09845237087;Midi-Pyrénées
Monflanquin;47150;44.5202002935;0.758095744834;Aquitaine
Monpazier;24540;44.6807686841;0.894082333283;Aquitaine
Montbrun-les-Bains;26570;44.1877148289;5.43426917221;Rhône-Alpes
Montclus;30630;44.2694461878;4.41823005524;Languedoc-Roussillon
Montpeyroux;63114;45.6253241922;3.20376168016;Auvergne
Montréal;32250;43.9513728334;0.199673132444;Midi-Pyrénées
Montrésor;37460;47.1526392935;1.20166068898;Centre
Montsoreau;49730;47.2135013304;0.0519492185178;Pays de la Loire
Mornac-sur-Seudre;17113;45.7079105893;-1.02132531485;Poitou-Charentes
Mortemart;87330;46.0484465758;0.95503235222;Limousin
Mosset;66500;42.6739429511;2.30444228005;Languedoc-Roussillon
Moustiers-Sainte-Marie;4360;43.8383278559;6.22818909628;Provence-Alpes-Côte d'Azur
Najac;12270;44.211295506;1.96305922109;Midi-Pyrénées
Noyers;89310;47.6952215995;3.98085741528;Bourgogne
Oingt;69620;45.9483312216;4.58594811188;Rhône-Alpes
Olargues;34390;43.540135455;2.91772316116;Languedoc-Roussillon
Olette;66360;42.5955754383;2.24262771832;Languedoc-Roussillon
Parfondeval;2360;49.7443573688;4.16145285338;Picardie
Pérouges;1800;45.8803945768;5.17955874977;Rhône-Alpes
Pesmes;70140;47.2915778298;5.57274698135;Franche Comté
Piana;20115;42.2260344023;8.62798195907;Corse
Pradelles;43420;44.7650507799;3.87177102948;Auvergne
Prévenchères;48800;44.5189016289;3.92049351127;Languedoc-Roussillon
Pujols;47300;44.3705410959;0.698420769964;Aquitaine
Puycelsi;81140;43.9765161784;1.70709054548;Midi-Pyrénées
Riquewihr;68340;48.1787804995;7.27259187393;Alsace
