region,title,longitude,latitude,website,popularity,address
alsace,Château de Lichtenberg,7.48648979999996,48.9212148,www.chateaudelichtenberg.com,1,"Rue des Cochers, 67340 Lichtenberg"
alsace,Ligne Maginot Fort Schoenenbourg,7.91237179999996,48.9664995,www.lignemaginot.com,1,"Rue Commandant Martial Reynier, 67250 Hunspach"
alsace,Cathédrale Notre Dame de Strasbourg,7.75103480000007,48.5818799,www.cathedrale-strasbourg.fr,1,"Place de la Cathédrale, 67000 Strasbourg"
alsace,Petite France,7.74151089999998,48.5811142,https://www.visitstrasbourg.fr/decouvrir-strasbourg/les-incontournables/la-petite-france/,1,"Petite France, 67000 Strasbourg"
alsace,Marché De Noël De Strasbourg,7.74854030000006,48.5847329,https://noel.strasbourg.eu/,3,"29 Rue de la Nuée-Bleue, 67000 Strasbourg"
alsace,Mittelbergheim,7.44211799999994,48.39611,,1,67140 Mittelbergheim
alsace,Château du Haut-Kœnigsbourg,7.34448309999993,48.2494853,www.haut-koenigsbourg.fr,1,67600 Orschwiller
alsace,Bibliothèque Humaniste,7.45505849999995,48.2603588,www.bibliotheque-humaniste.fr,1,"1 Place Dr Maurice Kubler, 67600 Sélestat"
alsace,Saint-Hippolyte,7.36795299999994,48.233309,,1,68590 Saint-Hippolyte
alsace,Bergheim,7.36217499999998,48.2056619,,1,68750 Bergheim
alsace,Massif du Taennchel,7.25876300000004,48.234898,,1,"Massif du Taennchel, 68150 Ribeauvillé"
alsace,Route des Vins,7.30386320000002,48.1326669,https://www.route-des-vins-alsace.com,3,
alsace,Les Menetriers,7.31909099999996,48.194668,https://www.visit.alsace/,1,68150 Ribeauvillé
alsace,Hunawihr,7.30907200000001,48.179362,,1,68150 Hunawihr
alsace,Riquewihr,7.29982199999995,48.166158,,1,68340 Riquewihr
alsace,Kaysersberg,7.26402299999995,48.13889,www.ville-kaysersberg.fr,1,68240 Kaysersberg
alsace,Niedermorschwihr,7.27360099999999,48.099556,,1,68230 Niedermorschwihr
alsace,Colmar,7.35851200000002,48.0793589,www.colmar.fr,1,68000 Colmar
alsace,Musée Unterlinden,7.35553449999998,48.0798414,www.musee-unterlinden.com,1,"1 Rue des Unterlinden, 68000 Colmar"
alsace,Eguisheim,7.30652199999997,48.043265,,1,68420 Eguisheim
alsace,Vallée de Munster,7.13832869999999,48.039683,www.vallee-munster.eu,1,"1 Rue du Couvent, 68140 Munster"
alsace,Parc de Wesserling - Écomusée Textile,6.99829299999999,47.884641,www.parc-wesserling.fr,1,"Rue du Parc, 68470 Husseren-Wesserling"
alsace,Cité de l'Automobile,7.32777220000003,47.761378,www.citedelautomobile.com,1,"17 Rue de la Mertzau, 68100 Mulhouse"
alsace,La Collégiale Saint Thiébaut,7.10140249999995,47.8110308,www.hautes-vosges-alsace.fr,1,"10 Place Joffre, 68800 Thann"
aquitaine,Fêtes De Bayonne,-1.47515859999999,43.4933617,http://m.fetes.bayonne.fr/,1,64100 Bayonne
aquitaine,Bayonne,-1.47484099999997,43.492949,,1,64100 Bayonne
aquitaine,Plage de la Madrague,-1.53485750000004,43.5108537,,1,"3 Avenue de Bayonne, 64600 Anglet"
aquitaine,Biarritz,-1.558626,43.4831519,www.ville-biarritz.fr,1,64200 Biarritz
aquitaine,Saint-Jean-de-Luz,-1.66305499999999,43.388051,,1,64500 Saint-Jean-de-Luz
aquitaine,La Rhune,-1.63526339999999,43.3092177,,1,"La Rhune, 64310 Ascain"
aquitaine,Urepel,-1.41639399999997,43.069581,,1,64430 Urepel
aquitaine,Saint-Jean-Pied-de-Port,-1.23811000000001,43.163141,,1,64220 Saint-Jean-Pied-de-Port
aquitaine,Grottes d'Isturitz et d'Oxocelhaya,-1.200515,43.354133,www.grottes-isturitz.com,1,"Quartier Herebehere, 64640 Saint-Martin-d'Arberoue"
aquitaine,Gorges de Kakuetta,-0.83993369999996,42.9980582,www.sainte-engrace.com,1,"64560 Sainte-Engrace, France"
aquitaine,Accueil grotte de La Verna,-0.820245999999997,42.996047,www.laverna.fr,1,"Espace accueil Arrakotchepia, Quartier Calla, 64560 Sainte-Engrace"
aquitaine,Lac d'Artouste,-0.331309899999951,42.8596549,,1,"Lac d'Artouste, 64440 Laruns"
aquitaine,Phare de Cordouan,-1.17335260000004,45.5863295,www.phare-de-cordouan.fr,1,33123 Le Verdon-sur-Mer
aquitaine,Bordeaux,-0.579179999999951,44.837789,www.bordeaux.fr,1,33000 Bordeaux
aquitaine,Saint-Émilion,-0.155729000000065,44.894387,https://www.saint-emilion-tourisme.com/,1,33330 Saint-Émilion
aquitaine,Cadillac,-0.320480999999972,44.637022,,1,33410 Cadillac
aquitaine,Festival Les Nuits Atypiques,-0.224990599999956,44.56337,www.nuitsatypiques.org,1,"Le Bourg, 33490 Saint-Macaire"
aquitaine,Castelmoron-d'Albret,-0.0114230000000362,44.679934,,1,33540 Castelmoron-d'Albret
aquitaine,Bassin d'Arcachon,-1.11611659999994,44.6764023,,3,Bassin d'Arcachon
aquitaine,Dune du Pilat,-1.21333379999999,44.5896525,https://www.ladunedupilat.com/,3,Dune du Pilat
aquitaine,Cap Ferret,-1.25269100000003,44.61731,,1,Cap Ferret
aquitaine,Labastide-d'Armagnac,-0.185619999999972,43.969386,,1,40240 Labastide-d'Armagnac
aquitaine,Écomusée de Marquèze,-0.747204399999987,44.1490722,www.marqueze.fr,1,"Route de Solférino, 40630 Sabres"
aquitaine,Monflanquin,0.767716999999948,44.532748,,1,47150 Monflanquin
aquitaine,Pujols,0.690210999999977,44.386482,,1,47300 Pujols
aquitaine,Musée des Beaux-Arts d’Agen,0.616106700000046,44.203152,https://www.agen.fr/mes-loisirs/culture/musee-des-beaux-arts-356.html,1,"Place Dr Esquirol, 47916 Agen"
aquitaine,"Vesunna, musée gallo-romain",0.713211000000001,45.179562,www.perigueux-vesunna.fr,1,"Parc de Vésone, 20 Rue 26ème Régiment d'Infanterie, 24000 Périgueux"
aquitaine,Abbaye de Brantôme,0.647239500000069,45.3645521,www.perigord-dronne-belle.fr,1,"14 Boulevard Charlemagne, 24310 Brantôme"
aquitaine,Grottes de Lascaux,1.16818590000003,45.0538453,www.lascaux-ii.fr,3,"Lieu-dit Lascaux, 24290 Montignac"
aquitaine,Eyrignac et ses jardins,1.31616899999995,44.9398727,www.eyrignac.com,1,"Eyrignac, 24590 Salignac-Eyvigues"
aquitaine,Sarlat-la-Canéda,1.21729200000004,44.890891,www.sarlat.fr,1,24200 Sarlat-la-Canéda
aquitaine,Les Jardins de Marqueyssac,1.16461849999996,44.8254622,www.marqueyssac.com,1,"Les Jardins de Marqueyssac, 24220 Vezac"
aquitaine,La Roque-Gageac,1.184259,44.825047,,1,Roque-Gageac
aquitaine,Beynac-et-Cazenac,1.14127699999995,44.8406,,1,24220 Beynac-et-Cazenac
aquitaine,Gouffre de Proumeyssac,0.934737899999959,44.8910883,http://www.gouffre-proumeyssac.com/,1,"Gouffre de Proumeyssac, 24260 Audrix"
aquitaine,Monpazier,0.89536899999996,44.682654,,1,24540 Monpazier
aquitaine,Château de Biron,0.872340000000008,44.632138,www.chateau-biron.fr,1,"Le Bourg S, 24540 Vergt-de-Biron"
auvergne,Puy de Dôme,2.96245049999993,45.7720165,,1,"Puy de Dôme, 63870 Orcines"
auvergne,Vulcania,2.94255610000005,45.8137975,www.vulcania.com,3,"Route de Mazayes, 63230 Saint-Ours"
auvergne,Clermont-Ferrand,3.08702500000004,45.777222,www.clermont-ferrand.fr,1,63000 Clermont-Ferrand
auvergne,Saint-Saturnin,3.09036300000002,45.660653,,1,63450 Saint-Saturnin
auvergne,Basilique Notre-Dame d'Orcival,2.84149579999996,45.6829305,www.auvergnevolcansancy.com,1,"Place de la Basilique, 63210 Orcival"
auvergne,Puy de Sancy,2.81393000000003,45.528387,,3,"Puy de Sancy, 63680 Mont-Dore"
auvergne,Château de Murol,2.9459531,45.5786876,www.murolchateau.com,1,"Rue du Château, 63790 Murol"
auvergne,Vallée de Chaudefour,2.88958400000001,45.561075,,1,"Vallée de Chaudefour, 63790 Chambon-sur-Lac"
auvergne,Lac Pavin,2.88686570000004,45.498973,,1,"Lac Pavin, 63610 Besse-et-Saint-Anastaise"
auvergne,Cézallier,2.98694399999999,45.333889,,1,"Cézallier, 63420 Anzat-le-Luguet"
auvergne,Abbatiale Saint-Austremoine d'Issoire,3.24996229999999,45.5435757,www.issoire-tourisme.com,1,"Place Saint-Paul, 63500 Issoire"
auvergne,Château de Villeneuve-Lembron,3.18590199999994,45.478005,www.villeneuve-lembron.monuments-nationaux.fr,1,"Château de Villeneuve-Lembron, 63340 Villeneuve-Lembron"
auvergne,Montpeyroux,3.20324900000003,45.621567,,1,63114 Montpeyroux
auvergne,Thiers,3.54517699999997,45.857907,,1,63300 Thiers
auvergne,Le Puy-en-Velay,3.88293599999997,45.042768,,1,43000 Le Puy-en-Velay
auvergne,Rocher Saint-Michel d'Aiguilhe,3.88252069999999,45.0499653,www.rochersaintmichel.fr,1,"Rue du Rocher, 43000 Aiguilhe"
auvergne,Abbaye de la Chaise-Dieu,3.69661380000002,45.320905,www.abbaye-chaise-dieu.com,1,"140 Place de la Mairie, 43160 La Chaise-Dieu"
auvergne,Léotoing,3.22233400000005,45.362115,,1,43410 Léotoing
auvergne,Blesle,3.17025599999999,45.318937,,1,43450 Blesle
auvergne,Lavoûte-Chilhac,3.40179499999999,45.147678,,1,43380 Lavoûte-Chilhac
auvergne,Château de Chavaniac,3.57914430000005,45.1576028,www.chateau-lafayette.com,1,"Le Château, 43230 Chavaniac-Lafayette"
auvergne,Pradelles,3.88201800000002,44.769875,,1,43420 Pradelles
auvergne,Lac du Bouchet,3.78796209999996,44.9081953,,1,"Lac du Bouchet, 43510"
auvergne,Château d'Arlempdes,3.92370700000004,44.8662037,,1,"Le Bourg, 43490 Arlempdes"
auvergne,Mont Mézenc,4.19081600000004,44.913477,,1,"Mont Mézenc, 07310 Borée"
auvergne,Festival International de théâtre de rue,2.444478,44.931079,www.aurillac.net,1,"20 Rue de la Coste, 15000 Aurillac"
auvergne,Tournemire,2.48474799999997,45.05215,,1,15310 Tournemire
auvergne,Salers,2.49380900000006,45.137854,,1,15140 Salers
auvergne,Château de Pesteils,2.57550000000003,44.953486,chateau-pesteils-cantal.com,1,15800 Polminhac
auvergne,"Allanche, Fête de l'Estive",2.93455700000004,45.229086,https://www.lesamisduvieilallanche.fr/,1,15160 Allanche
auvergne,Viaduc de Garabit,3.17766400000005,44.9758061,,1,"15320 Ruynes-en-Margeride, France"
auvergne,Charroux,3.162598,46.185442,,1,03140 Charroux
auvergne,Prieuré Saint-Pierre et Saint-Paul,3.19326339999998,46.5350609,,1,"Place Aristide Briand, 03210 Souvigny"
auvergne,Chateau de Chouvigny,2.99407150000002,46.1250039,www.chouvigny.net,1,03450 Chouvigny
auvergne,Vichy,3.42548799999997,46.131859,www.ville-vichy.fr,3,03200 Vichy
bourgogne,Abbaye de Cluny,4.65927439999996,46.4341352,www.cluny-abbaye.fr,3,"Rue du 11 Août 1944, 71250 Cluny"
bourgogne,Semur-en-Brionnais,4.088841,46.262789,,1,71110 Semur-en-Brionnais
bourgogne,Basilique du Sacré-Cœur de Jésus,4.12180020000005,46.4498579,www.bourgogne-tourisme.com,1,"1 Place Cardinal Perraud, 71600 Paray-le-Monial"
bourgogne,Musée de la Mine,4.38264600000002,46.7013311,www.musee-mine-blanzy.fr,1,"34 Rue du Bois Clair, 71450 Blanzy"
bourgogne,Château de Cormatin,4.68440299999997,46.5431261,www.chateaudecormatin.com,1,"Château de, 71460 Cormatin"
bourgogne,Parc Naturel Régional du Morvan,4.09809889999997,47.2754513,www.parcdumorvan.org,1,"Lieu-dit, Les Petites Fourches, 58230 Saint-Brisson"
bourgogne,Musée Rolin,4.29935499999999,46.945681,www.autun.com,1,"3 Rue des Bancs, 71400 Autun"
bourgogne,Musée Nicéphore Niépce,4.85588099999995,46.78013,www.museeniepce.com,1,"28 Quai des Messageries, 71100 Chalon-sur-Saône"
bourgogne,Lac de Saint-Agnan,4.09085559999994,47.3284263,,1,"Lac de Saint-Agnan, 58230 Saint-Agnan"
bourgogne,Arthel,3.40918499999998,47.244235,,1,58700 Arthel
bourgogne,Bibracte,4.04782699999998,46.932354,www.bibracte.fr,1,"Mont Beuvray, 71990 Saint-Léger-sous-Beuvray"
bourgogne,La Charité-sur-Loire,3.01801399999999,47.177091,www.ville-la-charite-sur-loire.fr,1,58400 La Charité-sur-Loire
bourgogne,Vézelay,3.74614299999996,47.465674,,1,89450 Vézelay
bourgogne,Château de Berzé-le-Châtel,4.68857819999994,46.3857642,www.berze.fr,1,71960 Berzé-le-Châtel
bourgogne,Abbaye de Pontigny,3.71376899999996,47.909749,www.abbayedepontigny.com,1,"5 Avenue de l'Abbaye, 89230 Pontigny"
bourgogne,Ancy-le-Franc,4.165437,47.774047,,1,89160 Ancy-le-Franc
bourgogne,Château de Bazoches,3.79465700000003,47.379996,,1,"Château de Bazoches, 58190 Bazoches"
bourgogne,Noyers,3.99566300000004,47.695641,www.noyers-sur-serein.com,1,89310 Noyers
bourgogne,Château de Châteauneuf,4.64000329999999,47.2176261,www.bourgognefranchecomte.fr,1,21320 Chateauneuf
bourgogne,Parc Noisot,4.96222899999998,47.245365,,1,"Parc Noisot, 21220 Fixin"
bourgogne,Palais des ducs et des Etats de Bourgogne,5.04059140000004,47.3216484,mba.dijon.fr,1,"1 Place de la Libération, 21000 Dijon"
bourgogne,Hôtel de Vogüé,5.04219560000001,47.3226771,,1,"8 Rue de la Chouette, 21000 Dijon"
bourgogne,Château du Clos de Vougeot,4.95576800000003,47.1750801,www.closdevougeot.fr,1,"Rue de la Montagne, 21640 Vougeot"
bourgogne,Abbaye de Fontenay,4.38932560000001,47.639611,www.abbayedefontenay.com,1,21500 Montbard
bourgogne,Hospices de Beaune,4.83660729999997,47.0221317,hospices-de-beaune.com,1,"Rue de l'Hôtel Dieu, 21200 Beaune"
bourgogne,Guédelon,3.15504220000003,47.5833887,www.guedelon.fr,1,"D955, 89520 Treigny"
bourgogne,Château de Saint-Point,4.61542250000002,46.3435437,,1,71520 Saint-Point
bretagne,Château de Fougères,-1.2088847,48.3545799,chateau-fougeres.com,1,"Prom. Pauline Montembault, 35300 Fougères"
bretagne,Val sans Retour,-2.28817270000002,48.0047975,tourisme-broceliande.bzh,1,"Rue Neuve, 56430 Tréhorenteuc"
bretagne,Cancale,-1.85227899999995,48.67707,www.ville-cancale.fr,1,35260 Cancale
bretagne,Forêt de Brocéliande,-2.17395799999997,48.018829,tourisme-broceliande.bzh,1,"1 Place du Roi Saint-Judicael, 35380 Paimpont"
bretagne,Parlement de Bretagne,-1.67812129999993,48.1128856,,1,"Parlement de Bretagne, 16 Rue Hoche, 35000 Rennes"
bretagne,Festival des Trans Musicales,-1.69522600000005,48.106978,www.lestrans.com,1,35000 Rennes
bretagne,Les remparts de Saint-Malo,-2.0285374,48.6498605,,3,35400 Saint-Malo
bretagne,Festival La Route Du Rock,-1.92570699999999,48.5684488,www.laroutedurock.com,1,35430 Saint-Père
bretagne,Fête des Remparts à Dinan,-2.04120809999995,48.4642458,www.fete-remparts-dinan.com,1,22100 Dinan
bretagne,Cap Fréhel,-2.31797110000002,48.6835323,www.paysdefrehel.com,1,"Route du Cap, 22240 Fréhel"
bretagne,Cap d'Erquy,-2.48646229999997,48.6444162,www.capderquy-valandre.com,1,"Rue de Plaine Garenne, 22430 Erquy"
bretagne,Île-de-Bréhat,-2.99993900000004,48.846085,www.iledebrehat.fr,3,Île-de-Bréhat
bretagne,Plougrescant,-3.22798399999999,48.841945,,1,22820 Plougrescant
bretagne,Côte de Granit Rose,-3.48337409999999,48.837506,,3,22700 Perros-Guirec
bretagne,Les Sept Îles,-3.47433100000001,48.89058,,1,Les Sept Îles
bretagne,La Vallée des Saints,-3.54217170000004,48.3715514,www.lavalleedessaints.com,1,"Quenequillec, 22160 Carnoët"
bretagne,Océanopolis,-4.43575139999996,48.3900092,www.oceanopolis.com,3,"Port de Plaisance du Moulin Blanc, 29200 Brest"
bretagne,Ouessant,-5.09139479999999,48.4613624,,1,Ouessant
bretagne,Huelgoat,-3.74564599999997,48.364725,,1,29690 Huelgoat
bretagne,Vieilles Charrues Festival,-3.55049429999997,48.2713875,www.vieillescharrues.asso.fr,3,"7 Rue Edgar Poe, 29270 Carhaix-Plouguer"
bretagne,Pointe du Raz,-4.73593600000004,48.03963,www.pointeduraz.com,1,29770 Plogoff
bretagne,Phare d'Eckmühl,-4.372794,47.7980442,,1,"Place du Maréchal Davout, 29760 Penmarch"
bretagne,Locronan,-4.20747900000003,48.098711,www.villedelocronan.fr,1,29180 Locronan
bretagne,Haliotika - La Cité de la Pêche,-4.28489300000001,47.792594,www.haliotika.com,1,"Terrasse Panoramique, Le port - BP 18, 29730 Guilvinec"
bretagne,Ville close de Concarneau,-3.91623460000005,47.8716751,www.concarneau.fr,1,"5 Rue Vauban, 29900 Concarneau"
bretagne,Îles de Glénan,-3.98660819999998,47.7153304,,3,Îles de Glénan
bretagne,Festival Interceltique de Lorient,-3.3682804,47.7483918,www.festival-interceltique.bzh,1,"Rue Pierre Guergadic, 56100 Lorient"
bretagne,Groix,-3.46299950000002,47.6376934,,3,Groix
bretagne,Île de Saint-Cado,-3.18482900000004,47.687619,,1,"Île de Saint-Cado, 56550 Belz"
bretagne,Belle-Île-en-Mer,-3.18104270000003,47.3364213,,1,"Belle-Île-en-Mer, 56360"
bretagne,Alignements de Carnac,-3.08254250000005,47.5925782,www.menhirs-carnac.fr,3,"LIeu-dit le Ménec, 56340 Carnac"
bretagne,Vannes,-2.76084700000001,47.658236,,1,56000 Vannes
bretagne,Rochefort-en-Terre,-2.33617900000002,47.699705,www.rochefort-en-terre.com,1,56220 Rochefort-en-Terre
bretagne,Fort la Latte,-2.2848103,48.6683283,www.lefortlalatte.com,1,22240 Plévenon
centre,Cathédrale Notre-Dame de Chartres,1.48783709999998,48.4478026,www.cathedrale-chartres.org,1,"16 Cloître Notre Dame, 28000 Chartres"
centre,Château de Maintenon,1.57825600000001,48.585608,www.chateaudemaintenon.fr,1,"2A Place Aristide Briand, 28130 Maintenon"
centre,Montigny-le-Gannelon,1.23450500000001,48.0134479,,1,28220 Montigny-le-Gannelon
centre,Châteaudun,1.32769600000006,48.070369,www.ville-chateaudun.com,1,28200 Châteaudun
centre,Château de Chenonceau,1.07030050000003,47.3248696,www.chenonceau.com,3,37150 Chenonceaux
centre,Musée du Compagnonnage,0.687357499999962,47.3961561,www.museecompagnonnage.fr,1,"1 square Prosper Mérimée, 37000 Tours"
centre,Château du Clos Lucé,0.992081399999961,47.4102346,vinci-closluce.com,1,"2 Rue du Clos Lucé, 37400 Amboise"
centre,Château de Villandry,0.514315200000055,47.3398534,www.chateauvillandry.fr,1,"3 Rue Principale, 37510 Villandry"
centre,Loches,0.997663999999986,47.128158,,1,37600 Loches
centre,Chinon,0.24038500000006,47.167296,,1,37500 Chinon
centre,Château d'Azay-le-Rideau,0.465736099999958,47.2590231,azay-le-rideau.monuments-nationaux.fr,1,"Rue de Pineau, 37190 Azay-le-Rideau"
centre,Musée Balzac,0.544668099999967,47.2458073,www.musee-balzac.fr,1,"Rue du Château, 37190 Saché"
centre,Château Royal de Blois,1.33058289999997,47.5853918,www.chateaudeblois.fr,1,"6 Place du Château, 41000 Blois"
centre,Château de Chambord,1.51721799999996,47.616126,www.chambord.org,3,"Château, 41250 Chambord"
centre,Château de Cheverny,1.45800489999999,47.5002097,www.chateau-cheverny.com,1,41700 Cheverny
centre,Festival International des Jardins De Chaumont-sur-Loire,1.18207129999996,47.4766199,www.domaine-chaumont.fr,1,"478 Le Château, 41150 Chaumont-sur-Loire"
centre,ZooParc De Beauval,1.35309000000007,47.2476534,www.zoobeauval.com,3,"Avenue du Blanc, 41110 St Aignan"
centre,Troo,0.797974000000067,47.777302,,1,41800 Troo
centre,Cathédrale Sainte-Croix d'Orléans,1.91025049999996,47.9017948,www.orleans.catholique.fr,1,"Place Sainte-Croix, 45000 Orléans"
centre,Yèvre le Châtel,2.33312799999999,48.1601209,,1,45300 Yèvre-la-Ville
centre,Cathédrale Saint-Étienne de Bourges,2.39920499999994,47.0821639,cathedrale-bourges.monuments-nationaux.fr,1,"Place Etienne Dolet, 18000 Bourges"
centre,Bourges,2.39878199999998,47.081012,Festival Printemps de Bourges,1,18000 Bourges
centre,Château D'Apremont-sur-Allier,3.04791380000006,46.9050263,www.apremont-sur-allier.com,1,"89 Le Parc Floral, 18150 Apremont-sur-Allier"
centre,Château d'Ainay-le-Vieil,2.55107539999995,46.6676902,chateau-ainaylevieil.fr,1,"7 Rue du Château, 18200 Ainay-le-Vieil"
centre,Abbaye de Noirlac,2.46112119999998,46.744989,www.abbayedenoirlac.fr,1,"366 Noirlac, 18200 Bruère-Allichamps"
centre,Maison de George Sand,1.97535570000002,46.625167,www.maison-george-sand.fr,1,"2 place Sainte-Anne, 36400 Nohant-Vic"
centre,Château de Valençay,1.5591518,47.156846,www.chateau-valencay.fr,1,"2 Rue de Blois, 36600 Valençay"
centre,Château de Bouges,1.67295910000007,47.042437,bouges.monuments-nationaux.fr,1,"15 Rue du Château, 36110 Bouges-le-Château"
centre,Gargilesse-Dampierre,1.61911169999996,46.5096517,,1,36190 Gargilesse-Dampierre
champagne,Lac Du Der,4.76502140000002,48.5536846,www.lacduder.com,1,"Rue du Port, 51290 Giffaumont-Champaubert"
champagne,Basilique Notre Dame de L'Epine,4.47036709999998,48.9770534,chalons.catholique.fr,1,"1 Rue Emile Barbier, 51460 L'Épine"
champagne,Cathédrale Notre-Dame de Reims,4.03404190000003,49.2538592,www.cathedrale-reims.com,3,"Place du Cardinal Luçon, 51100 Reims"
champagne,Moulin de Valmy 1792,4.766752,49.080484,www.valmy1792.com,1,"24 Rue Kellermann, 51800 Valmy"
champagne,Abbaye de Trois-Fontaines,4.94918440000004,48.7174462,www.abbayedetroisfontaines.com,1,"Place du Château, 51340 Trois-Fontaines-l'Abbaye"
champagne,Centre d'Interprétation Marne 14-18,4.53171150000003,49.1318689,www.marne14-18.fr,1,"4 Rlle Bayard BP 31, 51600 Suippes"
champagne,Place Ducale Charleville,4.72082499999999,49.7735236,,1,"33 Place Ducale, 08000 Charleville-Mézières"
champagne,Musée de la Métallurgie Ardennaise,4.75419579999993,49.8606433,www.musee-metallurgie-ardennes.fr,1,"103 Rue de la Vallée, 08120 Bogny-sur-Meuse"
champagne,Roc la Tour,4.78332799999998,49.890961,,1,"Roc la Tour, 08800 Monthermé"
champagne,Château Fort de Sedan,4.94922999999994,49.702163,www.chateau-fort-sedan.fr,1,"Cours Clos du Château, 08200 Sedan"
champagne,"Woinic, Le Colosse des Ardennes",4.5038376,49.5945785,,1,"A34 - Sortie 14, 08270 Saulces-Monclin"
champagne,Maison de l'Outil et de la Pensée Ouvrière,4.07295799999997,48.294648,https://www.tourisme-troyes.com/les-musees-0/maison-de-l-outil-et-de-la-pensee-ouvriere-165829,1,"7 Rue de la Trinité, 10000 Troyes"
champagne,Les Riceys,4.36949000000004,47.993819,https://www.vignerons-les-riceys.com/,1,10340 Les Riceys
champagne,Jardin botanique de Marnay sur seine,3.55572889999996,48.5131396,www.jardin-botanique.org,1,"Chemin des Gougins, 10400 Marnay-sur-Seine"
champagne,Mémorial Charles de Gaulle,4.87968820000003,48.2232561,www.memorial-charlesdegaulle.fr,1,"Mémorial Charles de Gaulle, 52330 Colombey-les-Deux-Églises"
champagne,Langres,5.33429699999999,47.86683,https://www.tourisme-langres.com/,1,52200 Langres
champagne,Abbaye d'Auberive,5.06079,47.7890296,https://abbaye-auberive.com/,1,"Place de l'abbaye, 52160 Auberive"
champagne,Fayl-Billot,5.60173599999996,47.7813469,,1,52500 Fayl-Billot
champagne,Château du Grand Jardin,5.14122190000001,48.446682,,1,"5 Avenue de la Marne, 52300 Joinville"
franchecomte,Le Fort des Rousses,6.05500410000002,46.4799244,www.fort-des-rousses.com,1,39220 Les Rousses
franchecomte,Cascades du Hérisson Haut,5.86751230000004,46.6135302,,1,"Aux Étroits, 39130 Bonlieu"
franchecomte,Lac de Chalain,5.78710950000004,46.6719112,,1,"Lac de Chalain, 39130 Fontenu"
franchecomte,Château-Chalon,5.62633789999995,46.7549,,1,39210 Château-Chalon
franchecomte,Grande Saline,5.87654250000003,46.937634,www.salinesdesalins.com,1,"Salines, Place des salines, 39110 Salins-les-Bains"
franchecomte,Nozeroy,6.03863899999999,46.775187,,1,39250 Nozeroy
franchecomte,Transjurassienne,6.02012939999997,46.5249448,latransju.com,1,
franchecomte,Parc naturel régional du Haut-Jura,5.97372799999994,46.37485,www.parc-haut-jura.fr,1,
franchecomte,Citadelle de Besançon,6.03173770000001,47.2318894,www.citadelle.com,1,"99 Rue des Fusillés de la Résistance, 25000"
franchecomte,Saline Royale d'Arc-et-Senans,5.77762630000007,47.0331753,www.salineroyale.com,1,"Grande Rue, 25610 Arc-et-Senans"
franchecomte,Grotte d'Osselle,5.83672679999995,47.1385102,grotte-osselle.fr,1,"42 Route des Grottes, 25410 Roset-Fluans"
franchecomte,Source du Lison,6.01186419999999,46.9656067,,1,25330 Nans-Sous-Sainte-Anne
franchecomte,Château de Joux,6.37428199999999,46.872411,www.chateaudejoux.com,1,"Route du Château, 25300 La Cluse-et-Mijoux"
franchecomte,Fort Saint Antoine - Cave d'affinage Marcel Petite,6.33240909999995,46.7887531,www.comte-petite.com,1,"Fort de Saint-Antoine, 25370 Saint-Antoine"
franchecomte,Mont-d'Or,6.35302130000002,46.7348202,,1,25370 Longevilles-Mont-d'Or
franchecomte,Saut du Doubs,6.71409100000005,47.0871789,www.sautdudoubs.fr,1,"Le Saut-du-Doubs 227, 2416 Les Brenets, Suisse"
franchecomte,Château de Belvoir,6.60309759999996,47.3180321,www.chateau-belvoir.com,1,"1 Rue du Bourg, 25430 Belvoir"
franchecomte,Musée de l'Aventure Peugeot,6.83106769999995,47.516129,www.museepeugeot.com,1,"Carrefour de l'Europe, 25600 Sochaux"
franchecomte,Gouffre de Poudrey,6.24598500000002,47.16627,www.gouffredepoudrey.com,1,"1 lieu-dit Au Puits de Poudrey, 25580 Étalans"
franchecomte,Château médiéval d'Oricourt,6.39186500000005,47.596071,www.oricourt.com,1,"1 rue Nicolas Rolin, 70110 Oricourt"
franchecomte,Ballon d'Alsace,6.84505469999999,47.8223258,www.ballondalsace.fr,1,90200 Lepuix
franchecomte,Le Lion de Bartholdi,6.86458029999994,47.6366683,musees.belfort.fr,1,"Allée du Souvenir Français, 90000 Belfort"
iledefrance,Square du Vert-Galant,2.34042239999997,48.8573303,www.parisinfo.com,1,"15 Place du Pont Neuf, 75001 Paris"
iledefrance,Le Centre Pompidou,2.35224500000004,48.860642,www.centrepompidou.fr,1,"Place Georges-Pompidou, 75004 Paris"
iledefrance,Le Jardin du Luxembourg,2.33716049999998,48.8462217,75006 Paris,3,"15 Rue de Vaugirard, 75291 Paris"
iledefrance,Musée d'Orsay,2.32656139999995,48.8599614,www.musee-orsay.fr,1,"1 Rue de la Légion d'Honneur, 75007 Paris"
