title,title-en,category,region,position,website,address,desc-fr,desc-en,wiki-fr,wiki-en,popularity,credit-desc-fr,credit-desc-en
"Allanche, Fête de l'Estive",,event,auvergne,"[45.229086,2.93455700000004]",https://www.lesamisduvieilallanche.fr/,15160 Allanche,,,,,1,,
Abbaye de Cluny,,historical,bourgogne,"[46.4341352,4.65927439999996]",www.cluny-abbaye.fr,"Rue du 11 Août 1944, 71250 Cluny",,,,,3,,
Semur-en-Brionnais,,city,bourgogne,"[46.262789,4.088841]",,71110 Semur-en-Brionnais,,,,,1,,
Basilique du Sacré-Cœur de Jésus,,historical,bourgogne,"[46.4498579,4.12180020000005]",www.bourgogne-tourisme.com,"1 Place Cardinal Perraud, 71600 Paray-le-Monial",,,,,1,,
Musée de la Mine,,museum,bourgogne,"[46.7013311,4.38264600000002]",www.musee-mine-blanzy.fr,"34 Rue du Bois Clair, 71450 Blanzy",,,,,1,,
Château de Cormatin,,historical,bourgogne,"[46.5431261,4.68440299999997]",www.chateaudecormatin.com,"Château de, 71460 Cormatin",,,,,1,,
Parc Naturel Régional du Morvan,,nature,bourgogne,"[47.2754513,4.09809889999997]",www.parcdumorvan.org,"Lieu-dit, Les Petites Fourches, 58230 Saint-Brisson",,,,,1,,
Musée Rolin,,museum,bourgogne,"[46.945681,4.29935499999999]",www.autun.com,"3 Rue des Bancs, 71400 Autun",,,,,1,,
Musée Nicéphore Niépce,,museum,bourgogne,"[46.78013,4.85588099999995]",www.museeniepce.com,"28 Quai des Messageries, 71100 Chalon-sur-Saône",,,,,1,,
Lac de Saint-Agnan,,nature,bourgogne,"[47.3284263,4.09085559999994]",,"Lac de Saint-Agnan, 58230 Saint-Agnan",,,,,1,,
Arthel,,city,bourgogne,"[47.244235,3.40918499999998]",,58700 Arthel,,,,,1,,
Bibracte,,museum,bourgogne,"[46.932354,4.04782699999998]",www.bibracte.fr,"Mont Beuvray, 71990 Saint-Léger-sous-Beuvray",,,,,1,,
La Charité-sur-Loire,,city,bourgogne,"[47.177091,3.01801399999999]",www.ville-la-charite-sur-loire.fr,58400 La Charité-sur-Loire,,,,,1,,
Vézelay,,city,bourgogne,"[47.465674,3.74614299999996]",,89450 Vézelay,,,,,1,,
Château de Berzé-le-Châtel,,historical,bourgogne,"[46.3857642,4.68857819999994]",www.berze.fr,71960 Berzé-le-Châtel,,,,,1,,
Abbaye de Pontigny,,city,bourgogne,"[47.909749,3.71376899999996]",www.abbayedepontigny.com,"5 Avenue de l'Abbaye, 89230 Pontigny",,,,,1,,
Ancy-le-Franc,,city,bourgogne,"[47.774047,4.165437]",,89160 Ancy-le-Franc,,,,,1,,
Château de Bazoches,,historical,bourgogne,"[47.379996,3.79465700000003]",,"Château de Bazoches, 58190 Bazoches",,,,,1,,
Noyers,,city,bourgogne,"[47.695641,3.99566300000004]",www.noyers-sur-serein.com,89310 Noyers,,,,,1,,
Château de Châteauneuf,,historical,bourgogne,"[47.2176261,4.64000329999999]",https://chateauneuf.bourgognefranchecomte.eu/infos-pratiques/,21320 Chateauneuf,,,,,1,,
Parc Noisot,,nature,bourgogne,"[47.245365,4.96222899999998]",,"Parc Noisot, 21220 Fixin",,,,,1,,
Palais des ducs et des Etats de Bourgogne,,historical,bourgogne,"[47.3216484,5.04059140000004]",mba.dijon.fr,"1 Place de la Libération, 21000 Dijon",,,,,1,,
Hôtel de Vogüé,,historical,bourgogne,"[47.3226771,5.04219560000001]",,"8 Rue de la Chouette, 21000 Dijon",,,,,1,,
Château du Clos de Vougeot,,historical,bourgogne,"[47.1750801,4.95576800000003]",www.closdevougeot.fr,"Rue de la Montagne, 21640 Vougeot",,,,,1,,
Abbaye de Fontenay,,historical,bourgogne,"[47.639611,4.38932560000001]",www.abbayedefontenay.com,21500 Montbard,,,,,1,,
Hospices de Beaune,,historical,bourgogne,"[47.0221317,4.83660729999997]",hospices-de-beaune.com,"Rue de l'Hôtel Dieu, 21200 Beaune",,,,,1,,
Guédelon,,historical,bourgogne,"[47.5833887,3.15504220000003]",www.guedelon.fr,"D955, 89520 Treigny",,,,,1,,
Château de Saint-Point,,historical,bourgogne,"[46.3435437,4.61542250000002]",,71520 Saint-Point,,,,,1,,
Haliotika - La Cité de la Pêche,,museum,bretagne,"[47.792594,-4.28489300000001]",www.haliotika.com,"Terrasse Panoramique, Le port - BP 18, 29730 Guilvinec",,,,,1,,
Lac Du Der,,nature,champagne,"[48.5536846,4.76502140000002]",www.lacduder.com,"Rue du Port, 51290 Giffaumont-Champaubert",,,,,1,,
Moulin de Valmy 1792,,museum,champagne,"[49.080484,4.766752]",www.valmy1792.com,"24 Rue Kellermann, 51800 Valmy",,,,,1,,
