title,title-en,category,region,position,website,address,desc-fr,desc-en,wiki-fr,wiki-en,popularity,credit-desc-fr,credit-desc-en,photo-description,photo-credit,photo-source
Labyrinthe Géant des Monts de Guéret,,nature,limousin,"[46.147938,1.86106700000005]",www.labyrinthe-gueret.fr,"Route de Bourganeuf, 23000 Guéret","Les monts de Guéret sont un modeste massif granitique du nord-ouest du Massif central, faisant partie des monts de la Marche. Ponctuant le plateau marchois, prolongement nord-est du plateau limousin, ils s'insèrent entre la vallée de la Gartempe à l'ouest et la vallée de la Creuse à l'est, dominant la ville de Guéret et s'articulant autour du massif forestier de Chabrières.
Dans la forêt de Chabrières, les altitudes culminent à plus de 600 mètres pour atteindre 683 mètres sur le Maupuy et 689 mètres sur le puy de Chiroux (point culminant des monts de Guéret). Cette région granitique de moyenne montagne propose des paysages de semi-bocage aujourd’hui fortement concurrencés par les boisements forestiers.

L'appellation des monts de Guéret évoque également un territoire touristique situé autour de ce massif, regroupant en fait les 19 communes qui composent la communauté de communes de Guéret Saint-Vaury. La ville centre est Guéret (15 071 habitants), l’ensemble compte plus de 28 000 habitants.
Les monts de Guéret sont réputés pour leurs espaces de randonnée à pied, à cheval et à VTT. Ils comportent plusieurs lieux d'intérêt :

parc animalier des Monts de Guéret, dans la forêt de Chabrières. Ce parc ouvert depuis 2001 présente plusieurs meutes de loups réparties dans différents enclos ;
labyrinthe Géant des Monts de Guéret, situé aux portes de la forêt de Chabrières. Au travers de 4,5 km d'allées engazonnées, il propose aux visiteurs de retrouver leur chemin à l'aide de questionnaires thématiques ;
musée d’Art et d’Archéologie de Guéret (ou musée de la Sénatorerie de Guéret) : créé en 1832, le musée occupe l’ancien hôtel de la Sénatorerie. Les collections ont pour thème : l'histoire naturelle, l'archéologie celtique et gallo-romaine, les arts asiatiques, l'orfèvrerie limousine (émaux), des collections de peintures hollandaises, flamandes et françaises du XVe au XIXe siècle, ainsi que des œuvres consacrées aux peintres de la vallée de la Creuse (Armand Guillaumin (1841-1927), Fernand Maillaud, Maurice Leloir, etc.) et de l'école de Crozant.",,5039646,,1,Wikipédia : Monts de Guéret,,,,
Masgot,,city,limousin,"[46.0358129,2.03538849999995]",www.masgot.fr,23480 Fransèches,"Masgot est un hameau de la commune de Fransèches, dans le département de la Creuse, en Nouvelle-Aquitaine. Le village est connu pour les nombreuses sculptures qui y ont été réalisées au XIXe siècle par François Michaud, considéré comme un pionnier de l'art brut en France.
Des stages de sculpture sur pierre et des visites guidées du village sont organisés périodiquement. La restauration du village a été soutenue par la Fondation du Patrimoine.",,10453878,,1,Wikipédia : Masgot,,"Entrée du potager de François Michaud, sculpteur d'art brut (Fransèches, Creuse, France).",LucasD CC BY-SA 4.0,https://commons.wikimedia.org/w/index.php?curid=53390310
Ruines de la Forteresse de Crozant,,historical,limousin,"[46.3940651,1.62083619999999]",www.limousin-medieval.com,"16 Route Isabelle d'Angouleme, 23160 Crozant",Le château  de Crozant est situé à Crozant dans le département de la Creuse et la région Nouvelle-Aquitaine. Le château est classé Monument historique depuis le 3 octobre 1997.,,2998249,,1,Wikipédia : Château de Crozant,,CHATEAU DE CROZANT,ARMAND DE FOUCAULT CC0,https://commons.wikimedia.org/w/index.php?curid=38198281
Château de Villemonteix,,historical,limousin,"[46.1078986,2.14322949999996]",www.chateau-villemonteix.cla.fr,23150 Saint-Pardoux-les-Cards,Le château de Villemonteix est situé à Saint-Pardoux-les-Cards dans le département de la Creuse et la région Nouvelle-Aquitaine.,,2966498,,1,Wikipédia : Château de Villemonteix,,"Cet édifice est répertorié dans la base Mérimée, base de données sur le patrimoine architectural français du ministère de la Culture, sous la référence PA00100183 .",Biache Benoit CC BY-SA 3.0,https://commons.wikimedia.org/w/index.php?curid=35754869
Curemonte,Curemonte,city,limousin,"[45.000278,1.74233700000002]",,19500 Curemonte,"Curemonte (Curamonta en occitan) est une commune française située dans le département de la Corrèze en région Nouvelle-Aquitaine.
Ses habitants sont appelés les Curemontois.","Curemonte is a commune in the Corrèze department in central France. It is a medieval village characterised by its three castles. In a fortified position on a ridge overlooking a valley on both its eastern and western flanks, the village has historically had a strategic importance in the area. Its inhabitants are called Curemontois.",72289,8736625,1,Wikipédia : Curemonte,Wikipédia : Curemonte,"Château des Plas à Curemonte (Corrèze, France)",MOSSOT CC BY-SA 3.0,https://commons.wikimedia.org/w/index.php?curid=12006835
Parc Naturel Régional de Millevaches en Limousin,,nature,limousin,"[45.6426141,2.09501449999993]",www.pnr-millevaches.fr,"7 route d’Aubusson, 19290 Millevaches","Le parc naturel régional de Millevaches en Limousin est un parc naturel régional français créé en 2004, situé à cheval sur trois départements de la région Nouvelle-Aquitaine (Corrèze, Creuse, Haute-Vienne). Il est, dans l'ordre chronologique, le deuxième parc naturel du territoire régional limousin ; le premier, celui du Périgord-Limousin, date de 1998. Il est l'un des quatre PNR de la nouvelle grande région. Il est présidé depuis 2016 par Philippe Connan, conseiller municipal de Saint-Sulpice-les-Bois, qui succède à l'ancien conseiller régional de Corrèze Christian Audouin (PCF).
S'étendant sur 3 143 km2, ce qui en fait le sixième PNR par la superficie, le parc s'organise autour du plateau de Millevaches, vaste ensemble hercynien de nature granitique de la périphérie occidentale du Massif central, qui s'étage entre 400 et 1 000 mètres d'altitude et plusieurs plateaux et petits massifs périphériques. Le territoire concerné est représentatif d'une diversité de paysages humides de façade océanique (landes, tourbières, espaces boisés et prairies agricoles).
Le parc est peuplé de 37 673 habitants répartis sur 113 communes.
La maison du parc se situe à Millevaches (Corrèze), depuis 2015.",,743513,,1,Wikipédia : Parc naturel régional de Millevaches en Limousin,,"La Vienne entre Tarnac et Rempnat, limite Corrèze/Haute-Vienne",J Christophe Fauvet CC BY-SA 4.0,https://commons.wikimedia.org/w/index.php?curid=10576577
Musée du cloître,,museum,limousin,"[45.2678045,1.77097649999996]",,"Place de la Cathédrale, 19000 Tulle",Le musée du cloître de Tulle ou musée municipal d'Art et d'Histoire du Pays de Tulle est un musée d’art et d’histoire abritant des collections reflétant les découvertes et l'histoire de Tulle et de sa région.,,3189860,,1,Wikipédia : Musée du Cloître de Tulle,,"Cloître de l'abbaye Saint-Martin et Saint-Michel, entrée du musée du Cloître de Tulle, Corrèze, France.",Blood Destructor CC BY-SA 3.0,https://commons.wikimedia.org/w/index.php?curid=27959760
Lac de la Triouzoune,,nature,limousin,"[45.395101,2.29252329999997]",,"Lac de la Triouzoune, 19160","Le lac de la Triouzoune, ou lac de Neuvic, est un lac de barrage français établi en Corrèze, entre les communes de Neuvic et de Liginiac.",,3049822,,1,Wikipédia : Lac de la Triouzoune,,,,
Les Tours de Merle,Tours de Merle,historical,limousin,"[45.0641872,2.07454899999993]",www.toursdemerle.fr,"Les Tours de Merle, 19220 Saint-Geniez-ô-Merle","Les Tours de Merle sont un ensemble de maisons fortes formant un castrum (place fortifiée) des XIIe et XVe siècles, qui se dressent sur la commune de Saint-Geniez-ô-Merle dans le département de la Corrèze, en région Nouvelle-Aquitaine. Elles furent le centre d'une co-seigneurie et d'une châtellenie.
Les restes du château font l’objet d’un classement au titre des monuments historiques par arrêté du 30 juillet 1927.","The Tours de Merle (English, Towers of Merle) are the ruins of a castle in the commune of Saint-Geniez-ô-Merle, in the Corrèze département of France.
A feudal fortress from the twelfth and fifteenth centuries, which was subject of a classification as a historic monument since July 30, 1927.
In the fourteenth century, Merle included seven castles, two chapels and village, owned by seven noblemen from Merles.
During the Hundred Years' War, the English took one of the towers and a castle in 1371.
In 1574 the Calvinists took the citadel, where they established a garrison, they were driven out two years later by the co-lords. But the fortress was abandoned by those who preferred to live in places that were more pleasant and certainly more accessible.",1818149,16289595,1,Wikipédia : Tours de Merle,Wikipédia : Tours de Merle,Les Tours de Merle (France),Stéfan Le Dû CC BY-SA 2.5,https://commons.wikimedia.org/w/index.php?curid=2479397
Lac de Saint-Pardoux,,nature,limousin,"[46.0323849,1.28933110000003]",,Lac de Saint-Pardoux,"Le Lac de Saint-Pardoux est un lac artificiel situé en Haute-Vienne, à 25 km au nord de Limoges, créé à partir de 1968 (études), mis en eau en 1976 et inauguré en 1977. Il est par sa taille le deuxième plan d'eau de la Haute-Vienne, derrière le lac de Vassivière, avec lequel il est l'un des principaux lacs touristiques de la région.
Le lac représente plus de 330 hectares. 192 hectares sont réservés aux sports et loisirs calmes (voiles, pédalos...), 88 hectares au motonautisme et 50 hectares à la pêche. De multiples activités de plein air sont également proposées. La baignade est autorisée en juillet et août seulement.
Le lac est composé de 3 sites : Santrop, Chabannes, Fréaudour. Le site principal est celui de Santrop, où se situe la Maison du Lac qui accueille et informe les visiteurs.",,800838,,1,Wikipédia : Lac de Saint-Pardoux,,Paysage du lac de Saint-Pardoux.,M8723 CC BY-SA 4.0,https://commons.wikimedia.org/w/index.php?curid=78840512
