id,id_no,name_en,name_fr,short_description_en,short_description_fr,longitude,latitude,states_name_en,states_name_fr
91,85,Prehistoric Sites and Decorated Caves of the Vézère Valley,Sites préhistoriques et grottes ornées de la vallée de la Vézère,"<p>The Vézère valley contains 147 prehistoric sites dating from the Palaeolithic and 25 decorated caves. It is particularly interesting from an ethnological and anthropological, as well as an aesthetic point of view because of its cave paintings, especially those of the Lascaux Cave, whose discovery in 1940 was of great importance for the history of prehistoric art. The hunting scenes show some 100 animal figures, which are remarkable for their detail, rich colours and lifelike quality.</p>","<p>Le site préhistorique de la vallée de la Vézère comporte 147 gisements remontant jusqu'au paléolithique et 25 grottes ornées. Il présente un intérêt exceptionnel d'un point de vue ethnologique, anthropologique et esthétique avec ses peintures pariétales, en particulier celles de la grotte de Lascaux dont la découverte (en 1940) a marqué une date dans l'histoire de l'art préhistorique. Ses scènes de chasse habilement composées comprennent une centaine de figures animales, étonnantes par la précision de l'observation, la richesse des coloris et la vivacité du rendu.</p>",1.17,45.0575,France,France
178,160,Palace and Park of Fontainebleau,Palais et parc de Fontainebleau,"<p>Used by the kings of France from the 12th century, the medieval royal hunting lodge of Fontainebleau, standing at the heart of a vast forest in the Ile-de-France, was transformed, enlarged and embellished in the 16th century by François I, who wanted to make a 'New Rome' of it. Surrounded by an immense park, the Italianate palace combines Renaissance and French artistic traditions.</p>","<p>Utilisée par les rois de France dès le XII<sup>e</sup> siècle, la résidence de chasse de Fontainebleau, au cœur d'une grande forêt de l'Île-de-France, fut transformée, agrandie et embellie au XVI<sup>e</sup> siècle par François I<sup><sup>e</sup>r</sup> qui voulait en faire une « nouvelle Rome ». Entouré d'un vaste parc, le château, inspiré de modèles italiens, fut un lieu de rencontre entre l'art de la Renaissance et les traditions françaises.</p>",2.698055556,48.40194444,France,France
182,164,"Arles, Roman and Romanesque Monuments","Arles, monuments romains et romans","<p>Arles is a good example of the adaptation of an ancient city to medieval European civilization. It has some impressive Roman monuments, of which the earliest – the arena, the Roman theatre and the cryptoporticus (subterranean galleries) – date back to the 1st century B.C. During the 4th century Arles experienced a second golden age, as attested by the baths of Constantine and the necropolis of Alyscamps. In the 11th and 12th centuries, Arles once again became one of the most attractive cities in the Mediterranean. Within the city walls, Saint-Trophime, with its cloister, is one of Provence's major Romanesque monuments.</p>","<p>Arles offre un exemple intéressant d'adaptation d'une cité antique à la civilisation de l'Europe médiévale. Elle conserve d'impressionnants monuments romains dont les plus anciens – arènes, théâtre antique, cryptoportiques – remontent au I<sup><sup>e</sup>r</sup> siècle av. J.-C. Elle connut au IV<sup>e</sup> siècle un second âge d'or dont témoignent les thermes de Constantin et la nécropole des Alyscamps. Aux XI<sup>e</sup> et XII<sup>e</sup> siècles, Arles redevint une des plus belles villes du monde méditerranéen. À l'intérieur des murs, Saint-Trophime avec son cloître est un des monuments majeurs de l'art roman provençal.</p>",4.630694444,43.67763889,France,France
254,228,"Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and Avignon Bridge","Centre historique d’Avignon : Palais des papes, ensemble épiscopal et Pont d’Avignon","<p>In the 14th century, this city in the South of France was the seat of the papacy. The Palais des Papes, an austere-looking fortress lavishly decorated by Simone Martini and Matteo Giovanetti, dominates the city, the surrounding ramparts and the remains of a 12th-century bridge over the Rhone. Beneath this outstanding example of Gothic architecture, the Petit Palais and the Romanesque Cathedral of Notre-Dame-des-Doms complete an exceptional group of monuments that testify to the leading role played by Avignon in 14th-century Christian Europe.</p>","<p>Cette ville du midi de la France fut le si&egrave;ge de la papaut&eacute; au XIV<sup>e</sup> si&egrave;cle. Le palais des Papes, forteresse d'apparence aust&egrave;re somptueusement d&eacute;cor&eacute;e &agrave; l'int&eacute;rieur par Simone Martini et Matteo Giovanetti, domine la cit&eacute;, sa ceinture de remparts et les vestiges d'un pont du XII<sup>e</sup> si&egrave;cle sur le Rh&ocirc;ne. Au pied de ce remarquable exemple d'architecture gothique, le Petit Palais et la cath&eacute;drale romane Notre-Dame-des-Doms ach&egrave;vent de former un exceptionnel ensemble monumental qui t&eacute;moigne du r&ocirc;le &eacute;minent jou&eacute; par Avignon dans l'Europe chr&eacute;tienne au XIV<sup>e</sup> si&egrave;cle.</p>",4.806111111,43.95277778,France,France
288,258,"Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve","Golfe de Porto : calanche de Piana, golfe de Girolata, réserve de Scandola","<p>The nature reserve, which is part of the Regional Natural Park of Corsica, occupies the Scandola peninsula, an impressive, porphyritic rock mass. The vegetation is an outstanding example of scrubland. Seagulls, cormorants and sea eagles can be found there. The clear waters, with their islets and inaccessible caves, host a rich marine life.</p>","<p>La r&eacute;serve, qui fait partie du parc naturel r&eacute;gional de Corse, occupe la presqu''&icirc;le de la Scandola, impressionnant massif de porphyre aux formes tourment&eacute;es. Sa v&eacute;g&eacute;tation est un remarquable exemple de maquis. On y trouve des go&eacute;lands, des cormorans et des aigles de mer. Les eaux transparentes, aux &icirc;lots et aux grottes inaccessibles, abritent une riche vie marine.</p>",8.628833333,42.32519444,France,France
393,345,Historic Fortified City of Carcassonne,Ville fortifiée historique de Carcassonne,"<p>Since the pre-Roman period, a fortified settlement has existed on the hill where Carcassonne now stands. In its present form it is an outstanding example of a medieval fortified town, with its massive defences encircling the castle and the surrounding buildings, its streets and its fine Gothic cathedral. Carcassonne is also of exceptional importance because of the lengthy restoration campaign undertaken by Viollet-le-Duc, one of the founders of the modern science of conservation.</p>","<p>Depuis la p&eacute;riode pr&eacute;romaine, des fortifications ont &eacute;t&eacute; &eacute;rig&eacute;es sur la colline o&ugrave; est aujourd'hui situ&eacute;e Carcassonne. Sous sa forme actuelle, c'est un exemple remarquable de cit&eacute; m&eacute;di&eacute;vale fortifi&eacute;e dot&eacute;e d'un &eacute;norme syst&egrave;me d&eacute;fensif entourant le ch&acirc;teau et les corps de logis qui lui sont associ&eacute;s, les rues et la superbe cath&eacute;drale gothique. Carcassonne doit aussi son importance exceptionnelle &agrave; la longue campagne de restauration men&eacute;e par Viollet-le-Duc, l'un des fondateurs de la science moderne de la conservation.</p>",2.358888889,43.21055556,France,France
710,600,"Paris, Banks of the Seine","Paris, rives de la Seine","<p>From the Louvre to the Eiffel Tower, from the Place de la Concorde to the Grand and Petit Palais, the evolution of Paris and its history can be seen from the River Seine. The Cathedral of Notre-Dame and the Sainte Chapelle are architectural masterpieces while Haussmann's wide squares and boulevards influenced late 19th- and 20th-century town planning the world over.</p>","<p>Du Louvre jusqu'à la tour Eiffel, ou de la place de la Concorde au Grand Palais et au Petit Palais, on peut voir l'évolution de Paris et son histoire depuis la Seine. La cathédrale Notre-Dame et la Sainte-Chapelle sont des chefs-d'œuvre d'architecture. Quant aux larges places et avenues construites par Haussmann, elles ont influencé l'urbanisme de la fin du XIX<sup>e</sup> et du XX<sup>e</sup> siècle dans le monde entier.</p>",2.294166667,48.85833333,France,France
711,601,"Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of Tau, Reims","Cathédrale Notre-Dame, ancienne abbaye Saint-Rémi et palais du Tau, Reims","<p>The outstanding handling of new architectural techniques in the 13th century, and the harmonious marriage of sculptural decoration with architecture, has made Notre-Dame in Reims one of the masterpieces of Gothic art. The former abbey still has its beautiful 9th-century nave, in which lie the remains of Archbishop St R&eacute;mi (440&ndash;533), who instituted the Holy Anointing of the kings of France. The former archiepiscopal palace known as the Tau Palace, which played an important role in religious ceremonies, was almost entirely rebuilt in the 17th century.</p>","<p>L'utilisation exceptionnelle des nouvelles techniques architecturales du XIII<sup>e</sup> si&egrave;cle et l'harmonieux mariage de la d&eacute;coration sculpt&eacute;e avec les &eacute;l&eacute;ments architecturaux ont fait de la cath&eacute;drale Notre-Dame de Reims un des chefs-d'&oelig;uvre de l'art gothique. L'ancienne abbaye, qui a conserv&eacute; une tr&egrave;s belle nef du XI<sup>e</sup> si&egrave;cle, abrite les restes de l'archev&ecirc;que saint R&eacute;mi (440-533), qui institua la sainte onction des rois de France. Le palais du Tau, ancien palais archi&eacute;piscopal, qui occupait une place importante dans la c&eacute;r&eacute;monie du sacre, a &eacute;t&eacute; presque enti&egrave;rement reconstruit au XVII<sup>e</sup> si&egrave;cle.</p>",4.032777778,49.25333333,France,France
910,770,Canal du Midi,Canal du Midi,"<p>This 360-km network of navigable waterways linking the Mediterranean and the Atlantic through 328 structures (locks, aqueducts, bridges, tunnels, etc.) is one of the most remarkable feats of civil engineering in modern times. Built between 1667 and 1694, it paved the way for the Industrial Revolution. The care that its creator, Pierre-Paul Riquet, took in the design and the way it blends with its surroundings turned a technical achievement into a work of art.</p>","<p>Avec ses 360 km navigables assurant la liaison entre la M&eacute;diterran&eacute;e et l'Atlantique et ses 328 ouvrages (&eacute;cluses, aqueducs, ponts, tunnels, etc) le r&eacute;seau du canal du Midi, r&eacute;alis&eacute; entre 1667 et 1694, constitue l'une des r&eacute;alisations de g&eacute;nie civil les plus extraordinaires de l'&egrave;re moderne, qui ouvrit la voie &agrave; la r&eacute;volution industrielle. Le souci de l'esth&eacute;tique architecturale et des paysages cr&eacute;&eacute;s qui anima son concepteur, Pierre-Paul Riquet, en fit non seulement une prouesse technique, mais aussi une &oelig;uvre d'art.</p>",1.416388889,43.61138889,France,France
1019,868,Routes of Santiago de Compostela in France,Chemins de Saint-Jacques-de-Compostelle en France,"<p>Santiago de Compostela was the supreme goal for countless thousands of pious pilgrims who converged there from all over Europe throughout the Middle Ages. To reach Spain pilgrims had to pass through France, and the group of important historical monuments included in this inscription marks out the four routes by which they did so.</p>","<p>Tout au long du Moyen Âge, Saint-Jacques-de-Compostelle fut la plus importante de toutes les destinations pour d'innombrables pèlerins venant de toute l'Europe. Pour atteindre l'Espagne, les pèlerins devaient traverser la France, et les monuments historiques notables qui constituent la présente inscription sur la Liste du patrimoine mondial étaient des jalons sur les quatre routes qu'ils empruntaient.</p>",0.722944444,45.18405556,France,France
